retroId,userId
01a2c835-29b2-40f4-9db4-7037a7d7cd9f,14275f4c-175d-4faa-96fb-9996c75b5061
5e5f0cd2-b9a8-4b4c-b8c7-7e93b2886b55,40fba27b-7e30-4e34-b89e-b73af5f9c56a
676c1f86-9d02-4088-a2f7-0aa5d869766d,4195335e-2835-4438-8e99-93dd5961a3a4
28fea74d-10ff-448c-b992-ed3879e83f88,4c4bec47-ecb0-49c1-b3ca-8d8fa304ee49
0d338363-40a1-49c4-8c3c-2f31906312ce,6db5121e-a1f1-424f-9e68-82a0d9256cdb
5a3d8616-4441-4a80-95ab-c0a007ff336c,6e07edc4-bc2e-4e27-877f-4bf0210362e6
1810b332-78a9-4084-8a5e-bd05c9bb6fcb,744a3a45-7dc1-4b54-9ec7-a3fab52ed433
f0dee7da-1e8f-4b9f-bc7e-4281cdd56728,7eb95a0d-f2c5-4cf3-a217-ce9cb9f80311
a99c4935-4cfd-4e8f-9e61-e8c7fb3e35a3,83e3bdc6-6d97-45a3-956f-f9d9e585d13c
ac62bd25-0312-4652-a051-3fb5b403fb8d,88fcf3ee-e56a-46e1-9b2a-22c55a332228
452ca3a5-b2a9-440b-9092-04e34244a297,ac16b3b2-759e-45f0-b5fe-85a9a281f236
ad073c41-c739-4cf9-853c-c3ebfadf6c96,be584e1b-e646-468a-8ba6-251104ee01b8
96e373e1-3dfa-4ec9-bb57-6603beac9273,cc930d2d-9ca4-4595-a556-4f07be042ea9
f358b9bf-86f7-4685-871f-cd1f807898bb,d0cb5959-d50a-4f6e-9965-e26f082b53db
331d647f-b0ab-47e8-8ff4-b92146abeb04,de176278-cd68-4536-aaf6-ea4875307d3f
ff1a7f9d-253f-4a38-8a07-e0ee5590b894,e0ba6ca2-314c-4dae-a832-a0b0b3f2214d
46fd952d-c0d8-4dcd-93bc-8d09dce41ef3,eb4a1ab0-0e86-4f5a-9138-2c0a6b99fab5
302a5bea-9d7f-449f-a583-4938a43b379a,edd8c600-d34d-4b3c-ba65-50f0d3ed8a82
860d2426-460b-4037-a445-cf2809607ea8,f6790dba-2613-471d-80d5-1fb99630c196
c3f99b25-41cc-41e5-a7cd-41fc5cb9a186,
91dcd7dc-a7da-499f-8d6b-068e42f598f9,
eb5ee853-8e06-457a-9426-a39eeb4fc2ff,
856acab0-0d3c-411a-9194-8bb07209129d,
0871938c-ce58-4c40-8923-fccb7edff225,
b7e39c95-bab6-49e0-aa19-9e212231ea0c,
db20b9ab-7d1c-4575-a473-452e5b39699f,
2d53431f-9823-4e8a-9783-067e59fc931d,
b5c7765f-2f78-4a47-a2bd-203eaad34b04,
3f98ba9e-90bb-49ce-a2e8-8fd0fa89d87e,
35f8529b-a7bd-4f9e-a44e-40a472bae023,
814d2353-8d0a-4541-9e8b-ddc64e615a24,
c7129687-27a5-4c7f-be63-a8852570d9cb,
b5b7b01c-919e-413a-8569-1ca90c55e18f,
ef36785a-6f50-42ab-be03-64834d8ddcc7,
cf0b1d3e-1e90-41a1-bdfb-1be9955457ba,
230b8ef3-bcdb-4116-b821-1baaa293a795,
ccbe5513-30b5-4e27-a951-2c48e8b9e2bc,
cb94bf0c-88e0-42cb-80b3-946a2083f8a2,
31e7ce5e-2532-4797-841e-684d24c769ef,
ca09e86d-49be-4091-a06f-aea72eb051a1,
f89e1deb-be8d-4d38-8b20-6768c8686cee,
b70ef351-c044-4b92-948f-4348be9f4be6,
1163bb54-a232-43d5-bd31-601fe4b5da1a,
12435b31-2fdd-41a7-9ae9-3297faf98794,
bcdaa975-4322-425b-825b-7cb296c9b0ee,
2f83fbc7-f489-4569-ad73-7a7ad9a10bdb,
b373fe88-b19a-45da-80b8-f4225a328abb,
2b7fb70d-a4ed-4051-9bc2-00cb30c55e4c,
3715a6ad-1936-442d-8148-c4c9138ed217,
e3663faa-895e-4fb9-acdc-e00aacdc574d,
